minutes,fid
1.026648062,0.480321104
1.02748138,0.480961665
1.028314699,0.479401016
1.029148017,0.477814233
1.029981335,0.47848035
1.030814653,0.480706656
1.031647972,0.484631607
1.03248129,0.488542413
1.033314608,0.492888642
1.034147926,0.495576492
1.034981245,0.497943598
1.035814563,0.499316593
1.036647881,0.499639811
1.037481199,0.499537883
1.038314517,0.498633012
1.039147836,0.497032996
1.039981154,0.494777624
1.040814472,0.493791852
1.04164779,0.494194603
1.042481109,0.49474422
1.043314427,0.49332676
1.044147745,0.49267141
1.044981063,0.490855205
1.045814382,0.489558567
1.0466477,0.486756473
1.047481018,0.483974368
1.048314336,0.482468052
1.049147655,0.480886736
1.049980973,0.478498164
1.050814291,0.475946204
1.051647609,0.476788365
1.052480927,0.478101249
1.053314246,0.478047567
1.054147564,0.475678373
1.054980882,0.47439019
1.0558142,0.47539153
1.056647519,0.477486791
1.057480837,0.47794422
1.058314155,0.478580626
1.059147473,0.481028399
1.059980792,0.485411505
1.06081411,0.488411722
1.061647428,0.491387239
1.062480746,0.495550979
1.063314064,0.49838964
1.064147383,0.497142746
1.064980701,0.494932286
1.065814019,0.492575014
1.066647337,0.491802065
1.067480656,0.488851182
1.068313974,0.48785361
1.069147292,0.486812061
1.06998061,0.487001478
1.070813929,0.486585051
1.071647247,0.485757402
1.072480565,0.484130408
1.073313883,0.481024692
1.074147201,0.478801187
1.07498052,0.47760176
1.075813838,0.478531377
1.076647156,0.481052616
1.077480474,0.485236722
1.078313793,0.488101173
1.079147111,0.490049846
1.079980429,0.491614608
1.080813747,0.494502869
1.081647066,0.495640575
1.082480384,0.495034148
1.083313702,0.49295721
1.08414702,0.490248605
1.084980339,0.488527511
1.085813657,0.488747428
1.086646975,0.490520434
1.087480293,0.491864674
1.088313611,0.49145848
1.08914693,0.492916575
1.089980248,0.493492648
1.090813566,0.492607754
1.091646884,0.489160838
1.092480203,0.487655877
1.093313521,0.488492584
1.094146839,0.48841299
1.094980157,0.486340374
1.095813476,0.480800335
1.096646794,0.474906064
1.097480112,0.472188714
1.09831343,0.474152398
1.099146748,0.478064671
1.099980067,0.479949399
1.100813385,0.477296105
1.101646703,0.474294323
1.102480021,0.472107784
1.10331334,0.475295346
1.104146658,0.479279908
1.104979976,0.481507469
1.105813294,0.482047531
1.106646613,0.482672382
1.107479931,0.484500721
1.108313249,0.484721938
1.109146567,0.483020178
1.109979885,0.482758762
1.110813204,0.48273259
1.111646522,0.482367474
1.11247984,0.480070358
1.113313158,0.478545986
1.114146477,0.480531548
1.114979795,0.481729732
1.115813113,0.48133776
1.116646431,0.4785477
1.11747975,0.47685235
1.118313068,0.477617012
1.119146386,0.478007585
1.119979704,0.477463858
1.120813022,0.476102353
1.121646341,0.474256748
1.122479659,0.472577498
1.123312977,0.471010605
1.124146295,0.469775211
1.124979614,0.467592428
1.125812932,0.46598559
1.12664625,0.465161918
1.127479568,0.463752591
1.128312887,0.463007197
1.129146205,0.463748659
1.129979523,0.466117931
1.130812841,0.46663536
1.13164616,0.467272744
1.132479478,0.469223583
1.133312796,0.471203567
1.134146114,0.472763762
1.134979432,0.47476319
1.135812751,0.476065508
1.136646069,0.477429469
1.137479387,0.477455931
1.138312705,0.479131326
1.139146024,0.479541532
1.139979342,0.478600427
1.14081266,0.476780111
1.141645978,0.473996506
1.142479297,0.472311535
1.143312615,0.471619452
1.144145933,0.472796569
1.144979251,0.475076809
1.145812569,0.476412304
1.146645888,0.476817132
1.147479206,0.474620127
1.148312524,0.472297355
1.149145842,0.470615017
1.149979161,0.468965034
1.150812479,0.46512394
1.151645797,0.460045491
1.152479115,0.457809808
1.153312434,0.459413792
1.154145752,0.461139076
1.15497907,0.462829404
1.155812388,0.463636366
1.156645706,0.465775217
1.157479025,0.46500119
1.158312343,0.462548818
1.159145661,0.460060446
1.159978979,0.46076253
1.160812298,0.464517347
1.161645616,0.468725565
1.162478934,0.470971015
1.163312252,0.46866711
1.164145571,0.465169228
1.164978889,0.463780767
1.165812207,0.465107418
1.166645525,0.467479446
1.167478844,0.466930008
1.168312162,0.465427392
1.16914548,0.464167664
1.169978798,0.464614104
1.170812116,0.466193632
1.171645435,0.467173305
1.172478753,0.467614656
1.173312071,0.466738195
1.174145389,0.465124135
1.174978708,0.463571374
1.175812026,0.464192525
1.176645344,0.465532331
1.177478662,0.467089581
1.178311981,0.465108054
1.179145299,0.460797927
1.179978617,0.456364077
1.180811935,0.455213684
1.181645253,0.455991279
1.182478572,0.456106007
1.18331189,0.454324202
1.184145208,0.452829842
1.184978526,0.455249303
1.185811845,0.459725487
1.186645163,0.462075038
1.187478481,0.460260377
1.188311799,0.459064083
1.189145118,0.461179023
1.189978436,0.466657673
1.190811754,0.470570113
1.191645072,0.472397219
1.19247839,0.47019827
1.193311709,0.467511565
1.194145027,0.464245182
1.194978345,0.461848388
1.195811663,0.458052472
1.196644982,0.455393822
1.1974783,0.455784773
1.198311618,0.459384846
1.199144936,0.462402496
1.199978255,0.464434947
1.200811573,0.464769364
1.201644891,0.464921448
1.202478209,0.464169088
1.203311527,0.463402816
1.204144846,0.463658633
1.204978164,0.464583528
1.205811482,0.465384279
1.2066448,0.465316585
1.207478119,0.465388891
1.208311437,0.466250342
1.209144755,0.466694337
1.209978073,0.466265665
1.210811392,0.465177627
1.21164471,0.466212089
1.212478028,0.467747595
1.213311346,0.470179434
1.214144665,0.471760096
1.214977983,0.471714135
1.215811301,0.469814264
1.216644619,0.465258248
1.217477937,0.462284065
1.218311256,0.463204315
1.219144574,0.468443222
1.219977892,0.472809139
1.22081121,0.474452867
1.221644529,0.473733629
1.222477847,0.470573368
1.223311165,0.466839763
1.224144483,0.465364425
1.224977802,0.467123565
1.22581112,0.468586937
1.226644438,0.467790477
1.227477756,0.466558772
1.228311074,0.466780889
1.229144393,0.467450273
1.229977711,0.469199624
1.230811029,0.470469941
1.231644347,0.472126103
1.232477666,0.472075509
1.233310984,0.471322826
1.234144302,0.471024576
1.23497762,0.468704994
1.235810939,0.466244689
1.236644257,0.462990828
1.237477575,0.463065479
1.238310893,0.464273185
1.239144211,0.465121124
1.23997753,0.466284564
1.240810848,0.465329326
1.241644166,0.464585776
1.242477484,0.463882382
1.243310803,0.465402266
1.244144121,0.46874065
1.244977439,0.469443623
1.245810757,0.468349696
1.246644076,0.466677202
1.247477394,0.465826052
1.248310712,0.464763225
1.24914403,0.460766687
1.249977349,0.457578693
1.250810667,0.455736799
1.251643985,0.456070905
1.252477303,0.456672412
1.253310621,0.459148495
1.25414394,0.459513268
1.254977258,0.458934319
1.255810576,0.456066014
1.256643894,0.453844687
1.257477213,0.452955282
1.258310531,0.454373343
1.259143849,0.457845772
1.259977167,0.461948956
1.260810486,0.46434224
1.261643804,0.464968357
1.262477122,0.464128096
1.26331044,0.462225258
1.264143758,0.459504475
1.264977077,0.45607207
1.265810395,0.455325388
1.266643713,0.456765549
1.267477031,0.457144
1.26831035,0.456385295
1.269143668,0.455967857
1.269976986,0.457568163
1.270810304,0.458046702
1.271643623,0.458684286
1.272476941,0.460093103
1.273310259,0.461721387
1.274143577,0.462620938
1.274976895,0.462132944
1.275810214,0.460630728
1.276643532,0.459644223
1.27747685,0.460026373
1.278310168,0.460558002
1.279143487,0.459885752
1.279976805,0.458718492
1.280810123,0.458297554
1.281643441,0.45829786
1.28247676,0.459853066
1.283310078,0.459886028
1.284143396,0.458312134
1.284976714,0.455100473
1.285810032,0.45475609
1.286643351,0.455198308
1.287476669,0.456277958
1.288309987,0.456821531
1.289143305,0.457719815
1.289976624,0.458062199
1.290809942,0.457344105
1.29164326,0.457142211
1.292476578,0.454728151
1.293309897,0.452122168
1.294143215,0.448823385
1.294976533,0.447864225
1.295809851,0.448820308
1.29664317,0.449009781
1.297476488,0.448783343
1.298309806,0.449134882
1.299143124,0.449859711
1.299976442,0.451766461
1.300809761,0.45241329
1.301643079,0.453045963
1.302476397,0.452016246
1.303309715,0.450020342
1.304143034,0.45013147
1.304976352,0.45142382
1.30580967,0.453713582
1.306642988,0.453854699
1.307476307,0.45383725
1.308309625,0.454231589
1.309142943,0.454586651
1.309976261,0.453359291
1.310809579,0.452150763
1.311642898,0.452924436
1.312476216,0.453744265
1.313309534,0.454336904
1.314142852,0.454563355
1.314976171,0.45371295
1.315809489,0.452834456
1.316642807,0.451522762
1.317476125,0.450887146
1.318309444,0.447259141
1.319142762,0.443344525
1.31997608,0.441411031
1.320809398,0.440467193
1.321642716,0.442773088
1.322476035,0.442932116
1.323309353,0.442711433
1.324142671,0.439824651
1.324975989,0.43865109
1.325809308,0.439462507
1.326642626,0.439124836
1.327475944,0.440674597
1.328309262,0.444000781
1.329142581,0.446700754
1.329975899,0.446531938
1.330809217,0.447656522
1.331642535,0.449267195
1.332475854,0.451565201
1.333309172,0.451177562
1.33414249,0.451027258
1.334975808,0.449552097
1.335809126,0.448357414
1.336642445,0.447917831
1.337475763,0.447743615
1.338309081,0.44620041
1.339142399,0.444383583
1.339975718,0.442235189
1.340809036,0.443264051
1.341642354,0.444288024
1.342475672,0.444913297
1.343308991,0.443064903
1.344142309,0.442882498
1.344975627,0.444755293
1.345808945,0.445531499
1.346642263,0.443058205
1.347475582,0.440842756
1.3483089,0.441223206
1.349142218,0.442841824
1.349975536,0.442482496
1.350808855,0.442523558
1.351642173,0.443276831
1.352475491,0.446138126
1.353308809,0.447652232
1.354142128,0.448732772
1.354975446,0.449041411
1.355808764,0.448607628
1.356642082,0.448571968
1.3574754,0.448534685
1.358308719,0.447374747
1.359142037,0.445553964
1.359975355,0.444973248
1.360808673,0.445155365
1.361641992,0.446296616
1.36247531,0.445955733
1.363308628,0.444015228
1.364141946,0.441309367
1.364975265,0.438081796
1.365808583,0.436561113
1.366641901,0.43638503
1.367475219,0.437196648
1.368308537,0.439317887
1.369141856,0.441013593
1.369975174,0.445329644
1.370808492,0.446826805
1.37164181,0.4478201
1.372475129,0.445841084
1.373308447,0.443930202
1.374141765,0.439980741
1.374975083,0.437705292
1.375808402,0.437672509
1.37664172,0.439819626
1.377475038,0.439732932
1.378308356,0.440099194
1.379141675,0.440035022
1.379974993,0.439899728
1.380808311,0.437871801
1.381641629,0.43782243
1.382474947,0.440862347
1.383308266,0.444024553
1.384141584,0.443845726
1.384974902,0.441129821
1.38580822,0.437839738
1.386641539,0.436752778
1.387474857,0.437033395
