0.918,140
0.935,430
0.911,120
0.918,190
0.923,210
0.927,310
0.914,170
0.912,87
0.925,230
0.929,320
0.918,190
0.923,220
0.942,540
0.908,87
0.917,190
0.9,65
0.923,220
0.918,180
0.908,87
0.918,170
0.895,48
0.922,220
0.92,220
0.918,200
0.912,110
0.895,56
0.958,1000
0.918,110
0.927,310
0.94,540
0.883,30
0.929,320
0.927,190
0.916,120
0.912,110
0.905,76
0.92,200
0.923,200
0.918,110
0.919,180
0.942,430
0.918,130
0.916,180
0.918,100
0.912,100
0.9,61
0.917,130
0.916,180
0.9,64
0.9,58
0.923,210
0.92,210
0.925,200
0.9,58
0.952,1000
0.9,61
0.916,160
